npa,country_code,country_name,state_province_code,state_province_name,region,created_at,updated_at,notes,is_active
584,CA,Canada,MB,Manitoba,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
585,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
586,US,United States,MI,Michigan,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
587,CA,Canada,AB,Alberta,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
601,US,United States,MS,Mississippi,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
602,US,United States,AZ,Arizona,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
603,US,United States,NH,New Hampshire,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
604,CA,Canada,BC,British Columbia,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
605,US,United States,SD,South Dakota,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
606,US,United States,KY,Kentucky,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
607,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
608,US,United States,WI,Wisconsin,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
609,US,United States,NJ,New Jersey,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
610,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
612,US,United States,MN,Minnesota,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
613,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
614,US,United States,OH,Ohio,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
615,US,United States,TN,Tennessee,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
616,US,United States,MI,Michigan,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
617,US,United States,MA,Massachusetts,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
618,US,United States,IL,Illinois,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
619,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
620,US,United States,KS,Kansas,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
621,US,United States,TX,Texas,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
623,US,United States,AZ,Arizona,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
624,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
626,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
628,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
629,US,United States,TN,Tennessee,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
630,US,United States,IL,Illinois,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
631,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
636,US,United States,MO,Missouri,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
639,CA,Canada,SK,Saskatchewan,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
640,US,United States,NJ,New Jersey,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
641,US,United States,IA,Iowa,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
645,US,United States,FL,Florida,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
646,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
647,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
649,TC,Turks and Caicos Islands,TC,Turks and Caicos,Caribbean,2025-07-12 13:48:49.254+00,2025-07-25 02:09:43.654913+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
650,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
651,US,United States,MN,Minnesota,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
656,US,United States,FL,Florida,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
657,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
658,JM,Jamaica,JM,Jamaica,Caribbean,2025-06-28 23:26:21.081586+00,2025-07-25 02:02:05.038082+00,Cleared via admin interface,true
